feature,start,end,dominant,pvalue
Sulfitobacter,0,3,TDA,0.036554041
Sulfitobacter,5,6,TDA,0.047421458
Sulfitobacter,7,10,TDA,0.019264967
Alteromonas,0,10,TDA,0.013586016
Cohaesibacter,3,10,NoTDA,0.008353601
Donghicola,5,9,NoTDA,0.041450777
,,,,
Genera,,,,
Sulfitobacter,,,,
Sulfitobacter,,,,
Sulfitobacter,,,,
Sulfitobacter,,,,
Sulfitobacter,,,,
Sulfitobacter,,,,
Sulfitobacter,,,,
Sulfitobacter,,,,
Sulfitobacter,,,,
Sulfitobacter,,,,
Sulfitobacter,,,,
Alteromonas,,,,
Alteromonas,,,,
Alteromonas,,,,
Alteromonas,,,,
Alteromonas,,,,
Alteromonas,,,,
Alteromonas,,,,
Alteromonas,,,,
Alteromonas,,,,
Alteromonas,,,,
Alteromonas,,,,
Cohaesibacter,,,,
Cohaesibacter,,,,
Cohaesibacter,,,,
Cohaesibacter,,,,
Cohaesibacter,,,,
Cohaesibacter,,,,
Cohaesibacter,,,,
Cohaesibacter,,,,
Cohaesibacter,,,,
Cohaesibacter,,,,
Cohaesibacter,,,,
Donghicola,,,,
Donghicola,,,,
Donghicola,,,,
Donghicola,,,,
Donghicola,,,,
Donghicola,,,,
Donghicola,,,,
Donghicola,,,,
Donghicola,,,,
Donghicola,,,,
Donghicola,,,,
